cell_name,Symbol
Vascular smooth muscle cell(VSMC),ACTA2
Astrocyte,CD80
Astrocyte,CD86
Astrocyte,CD40
Astrocyte,GFAP
Astrocyte,C5AR1
Endothelial cell,PECAM1
Endothelial cell,VCAM1
Neuron,MARK4
Oligodendrocyte,RTN4
Microglial cell,CD68
Neuron,GFAP
Neuron,MAP2
Pericyte,CSPG4
Neuron,DLX5
Neuron,KCNK1
Neuron,DLX2
Neuron,SST
Astrocyte,CYBRD1
Oligodendrocyte,PLP1
Astrocyte,GLI3
Oligodendrocyte,SEC14L5
Neuron,EGFR
Oligodendrocyte,MAP6D1
Oligodendrocyte,LGI3
Astrocyte,FGFR3
Microglial cell,BCL2A1
Endothelial cell,FLT1
Astrocyte,RNF43
Astrocyte,TRIM66
Oligodendrocyte,MAL
Astrocyte,SLC30A10
Oligodendrocyte,UGT8
Neuron,PNOC
Astrocyte,SLC4A4
Astrocyte,CHRDL1
Astrocyte,HGF
Oligodendrocyte,MBP
Microglial cell,LAPTM5
Astrocyte,SLC14A1
Neuron,RELN
Astrocyte,NWD1
Astrocyte,CTH
Neuron,NFASC
Neuron,NXPH1
Neuron,GLRA2
Astrocyte,ITGA7
Astrocyte,ALDH1L1
Neuron,DLX1
Oligodendrocyte,GSN
Microglial cell,HLA-DRA
Oligodendrocyte,ASPA
Astrocyte,SORCS2
Neuron,DPYSL5
Neuron,CNTN4
Oligodendrocyte,PLEKHB1
Neuron,LNX1
Neuron,LRRTM3
Microglial cell,CSF1R
Microglial cell,GPR183
Oligodendrocyte,ADAMTS4
Astrocyte,C16orf89
Microglial cell,CCL2
Oligodendrocyte,CDK18
Oligodendrocyte,GPR37
Astrocyte,PAQR6
Oligodendrocyte,CNP
Neuron,ELAPOR1
Oligodendrocyte,SHC4
Astrocyte,CBS
Astrocyte,ATP13A4
Neuron,SLC10A4
Oligodendrocyte,KLK6
Oligodendrocyte,KCNH8
Astrocyte,BMPR1B
Neuron,GRIA3
Oligodendrocyte,PPP1R14A
Endothelial cell,A2M
Neuron,NELL1
Endothelial cell,TM4SF1
Neuron,TMEM130
Neuron,DLX6
Oligodendrocyte,ERMN
Microglial cell,CCL4
Astrocyte,ITGB4
Astrocyte,PPP1R3C
Oligodendrocyte,OPALIN
Oligodendrocyte,GRM3
Endothelial cell,APOLD1
Oligodendrocyte,LPAR1
Oligodendrocyte,GJB1
Neuron,CDO1
Oligodendrocyte,MAG
Neuron,ARMH4
Oligodendrocyte,FA2H
Neuron,DCN
Oligodendrocyte,MOBP
Oligodendrocyte,DAAM2
Neuron,COBL
Oligodendrocyte,DPYD
Neuron,SLITRK1
Oligodendrocyte,CLDN11
Microglial cell,CD14
Microglial cell,CD83
Astrocyte,AQP4
Astrocyte,GLIS3
Oligodendrocyte,OLIG2
Astrocyte,NFIA
Astrocyte,S100B
Neuron,ENO2
Neuron,SYP
Astrocyte,CST3
Oligodendrocyte,SNX1
Astrocyte,IER2
Oligodendrocyte,GRIA4
Astrocyte,PAPLN
Astrocyte,GABRB1
Oligodendrocyte,TMEM97
Astrocyte,CLU
Oligodendrocyte,TM7SF2
Oligodendrocyte,GRIA2
Astrocyte,PRLHR
Astrocyte,FTH1
Oligodendrocyte,ARL4A
Astrocyte,HLA-E
Astrocyte,APOE
Oligodendrocyte,MAML2
Oligodendrocyte,SERINC5
Astrocyte,NTRK2
Oligodendrocyte,EPN2
Astrocyte,MLC1
Astrocyte,LIX1
Astrocyte,HIF1A
Astrocyte,TNS1
Oligodendrocyte,COX7C
Oligodendrocyte,RTKN
Oligodendrocyte,FAU
Astrocyte,TIMP3
Oligodendrocyte,EIF3L
Oligodendrocyte,ACTG1
Astrocyte,PRRT2
Astrocyte,DNASE2
Oligodendrocyte,DLL3
Oligodendrocyte,ATCAY
Astrocyte,CHST9
Astrocyte,TACR1
Oligodendrocyte,EIF3E
Oligodendrocyte,TUBB
Oligodendrocyte,MTSS1
Oligodendrocyte,SIRT2
Astrocyte,GRIA1
Oligodendrocyte,PID1
Astrocyte,SPARCL1
Oligodendrocyte,SLC1A1
Astrocyte,TPCN1
Astrocyte,CPVL
Oligodendrocyte,MIF
Oligodendrocyte,POLR2F
Astrocyte,SEMA6A
Oligodendrocyte,EBP
Oligodendrocyte,KCNIP3
Astrocyte,KCNIP2
Astrocyte,TRIL
Astrocyte,GRAMD2B
Oligodendrocyte,HIPK2
Astrocyte,TSPAN12
Astrocyte,IGFBP7
Oligodendrocyte,SHISA4
Astrocyte,MMD2
Oligodendrocyte,DLL1
Astrocyte,CASTOR1
Oligodendrocyte,RPS23
Oligodendrocyte,CDHR1
Astrocyte,HEPN1
Oligodendrocyte,RAB2A
Oligodendrocyte,VIPR2
Astrocyte,CASQ1
Oligodendrocyte,FABP7
Astrocyte,TOB2
Astrocyte,NOG
Oligodendrocyte,RAB33A
Oligodendrocyte,MAP2
Oligodendrocyte,GPR37L1
Oligodendrocyte,RGMB
Oligodendrocyte,RPL13A
Oligodendrocyte,TCF12
Oligodendrocyte,GPR17
Oligodendrocyte,CRB1
Astrocyte,PLTP
Astrocyte,MAFB
Astrocyte,PON2
Oligodendrocyte,ASIC1
Astrocyte,DGKG
Oligodendrocyte,PHLDB1
Astrocyte,CPNE5
Oligodendrocyte,LHFPL3
Astrocyte,LYPD1
Oligodendrocyte,IFITM10
Astrocyte,FOSB
Astrocyte,P2RY1
Astrocyte,EDNRB
Astrocyte,FXYD7
Oligodendrocyte,NME1
Oligodendrocyte,NXPH1
Oligodendrocyte,TMEFF2
Astrocyte,SCG2
Oligodendrocyte,ATP5F1E
Astrocyte,ID1
Astrocyte,ALDOC
Astrocyte,SOX9
Astrocyte,ZFP36L1
Astrocyte,SPON1
Oligodendrocyte,SNX22
Astrocyte,SRPX
Astrocyte,ATP1B2
Astrocyte,AGT
Astrocyte,SPOCK1
Astrocyte,ATF3
Astrocyte,DKK3
Oligodendrocyte,TMSB10
Astrocyte,JUNB
Astrocyte,RND3
Oligodendrocyte,RPS17
Oligodendrocyte,THY1
Oligodendrocyte,EEF1B2
Astrocyte,METTL7A
Astrocyte,NHSL1
Oligodendrocyte,APOD
Oligodendrocyte,MICAL1
Astrocyte,SERPINA3
Astrocyte,PFKFB3
Oligodendrocyte,DHCR24
Oligodendrocyte,MEST
Astrocyte,LHFPL6
Astrocyte,RHOB
Astrocyte,CRYAB
Oligodendrocyte,PHLDA1
Astrocyte,ABCA1
Oligodendrocyte,SGK1
Oligodendrocyte,FDPS
Oligodendrocyte,HIP1
Oligodendrocyte,SOX8
Oligodendrocyte,LIMA1
